Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
100_tc,,,,24-09-2025 04:50:51,24-09-2025 04:54:13,3m - 21.750s,PASSED
,,,,,,,
Start listener action : sampleBeforeTestSuite,,,,24-09-2025 04:50:51,24-09-2025 04:50:51,0.126s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:50:51,24-09-2025 04:50:53,2.108s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:50:51,24-09-2025 04:50:51,0.007s,PASSED
Video,,,,24-09-2025 04:50:53,24-09-2025 04:50:53,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:50:53,24-09-2025 04:50:56,2.014s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:50:53,24-09-2025 04:50:53,0.001s,PASSED
Video,,,,24-09-2025 04:50:55,24-09-2025 04:50:55,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:50:56,24-09-2025 04:50:58,2.012s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:50:56,24-09-2025 04:50:56,0.001s,PASSED
Video,,,,24-09-2025 04:50:58,24-09-2025 04:50:58,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:50:58,24-09-2025 04:51:00,2.016s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:50:58,24-09-2025 04:50:58,0.001s,PASSED
Video,,,,24-09-2025 04:51:00,24-09-2025 04:51:00,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:51:00,24-09-2025 04:51:02,2.038s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:51:00,24-09-2025 04:51:00,0.002s,PASSED
Video,,,,24-09-2025 04:51:02,24-09-2025 04:51:02,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:51:02,24-09-2025 04:51:04,2.026s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:51:02,24-09-2025 04:51:02,0.007s,PASSED
Video,,,,24-09-2025 04:51:04,24-09-2025 04:51:04,0.000s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:51:04,24-09-2025 04:51:06,2.010s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:51:04,24-09-2025 04:51:04,0.001s,PASSED
Video,,,,24-09-2025 04:51:06,24-09-2025 04:51:06,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:51:06,24-09-2025 04:51:08,2.012s,PASSED
