Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
100_tc,,,,24-09-2025 07:43:57,24-09-2025 07:47:19,3m - 22.483s,PASSED
,,,,,,,
Start listener action : sampleBeforeTestSuite,,,,24-09-2025 07:43:57,24-09-2025 07:43:57,0.328s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:43:58,24-09-2025 07:44:00,2.408s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:43:58,24-09-2025 07:43:58,0.027s,PASSED
Video,,,,24-09-2025 07:44:00,24-09-2025 07:44:00,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:44:00,24-09-2025 07:44:02,2.014s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:44:00,24-09-2025 07:44:00,0.001s,PASSED
Video,,,,24-09-2025 07:44:02,24-09-2025 07:44:02,0.000s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:44:02,24-09-2025 07:44:04,2.018s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:44:02,24-09-2025 07:44:02,0.003s,PASSED
Video,,,,24-09-2025 07:44:04,24-09-2025 07:44:04,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:44:04,24-09-2025 07:44:06,2.012s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:44:04,24-09-2025 07:44:04,0.001s,PASSED
Video,,,,24-09-2025 07:44:06,24-09-2025 07:44:06,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:44:06,24-09-2025 07:44:08,2.019s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:44:06,24-09-2025 07:44:06,0.002s,PASSED
Video,,,,24-09-2025 07:44:08,24-09-2025 07:44:08,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:44:08,24-09-2025 07:44:10,2.015s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:44:08,24-09-2025 07:44:08,0.002s,PASSED
Video,,,,24-09-2025 07:44:10,24-09-2025 07:44:10,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:44:10,24-09-2025 07:44:12,2.011s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:44:10,24-09-2025 07:44:10,0.001s,PASSED
Video,,,,24-09-2025 07:44:12,24-09-2025 07:44:12,0.000s,PASSED
