Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
100_tc,,,,24-09-2025 07:43:30,24-09-2025 07:46:51,3m - 21.547s,PASSED
,,,,,,,
Start listener action : sampleBeforeTestSuite,,,,24-09-2025 07:43:30,24-09-2025 07:43:30,0.124s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:43:30,24-09-2025 07:43:32,2.126s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:43:30,24-09-2025 07:43:30,0.030s,PASSED
Video,,,,24-09-2025 07:43:32,24-09-2025 07:43:32,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:43:32,24-09-2025 07:43:34,2.016s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:43:32,24-09-2025 07:43:32,0.002s,PASSED
Video,,,,24-09-2025 07:43:34,24-09-2025 07:43:34,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:43:34,24-09-2025 07:43:36,2.012s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:43:34,24-09-2025 07:43:34,0.002s,PASSED
Video,,,,24-09-2025 07:43:36,24-09-2025 07:43:36,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:43:36,24-09-2025 07:43:38,2.011s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:43:36,24-09-2025 07:43:36,0.000s,PASSED
Video,,,,24-09-2025 07:43:38,24-09-2025 07:43:38,0.000s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:43:38,24-09-2025 07:43:40,2.013s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:43:38,24-09-2025 07:43:38,0.001s,PASSED
Video,,,,24-09-2025 07:43:40,24-09-2025 07:43:40,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:43:40,24-09-2025 07:43:42,2.015s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:43:40,24-09-2025 07:43:40,0.002s,PASSED
Video,,,,24-09-2025 07:43:42,24-09-2025 07:43:42,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:43:42,24-09-2025 07:43:44,2.010s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:43:42,24-09-2025 07:43:42,0.001s,PASSED
Video,,,,24-09-2025 07:43:44,24-09-2025 07:43:44,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:43:44,24-09-2025 07:43:46,2.010s,PASSED
