Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
100_tc,,,,24-09-2025 04:51:09,24-09-2025 04:54:30,3m - 21.849s,PASSED
,,,,,,,
Start listener action : sampleBeforeTestSuite,,,,24-09-2025 04:51:09,24-09-2025 04:51:09,0.106s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:51:09,24-09-2025 04:51:11,2.143s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:51:09,24-09-2025 04:51:09,0.008s,PASSED
Video,,,,24-09-2025 04:51:11,24-09-2025 04:51:11,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:51:11,24-09-2025 04:51:13,2.016s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:51:11,24-09-2025 04:51:11,0.002s,PASSED
Video,,,,24-09-2025 04:51:13,24-09-2025 04:51:13,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:51:13,24-09-2025 04:51:15,2.015s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:51:13,24-09-2025 04:51:13,0.001s,PASSED
Video,,,,24-09-2025 04:51:15,24-09-2025 04:51:15,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:51:15,24-09-2025 04:51:17,2.012s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:51:15,24-09-2025 04:51:15,0.001s,PASSED
Video,,,,24-09-2025 04:51:17,24-09-2025 04:51:17,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:51:17,24-09-2025 04:51:19,2.012s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:51:17,24-09-2025 04:51:17,0.001s,PASSED
Video,,,,24-09-2025 04:51:19,24-09-2025 04:51:19,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:51:19,24-09-2025 04:51:21,2.013s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:51:19,24-09-2025 04:51:19,0.001s,PASSED
Video,,,,24-09-2025 04:51:21,24-09-2025 04:51:21,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 04:51:21,24-09-2025 04:51:23,2.016s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 04:51:21,24-09-2025 04:51:21,0.004s,PASSED
