Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
100_tc,,,,24-09-2025 07:43:45,24-09-2025 07:47:07,3m - 21.792s,PASSED
,,,,,,,
Start listener action : sampleBeforeTestSuite,,,,24-09-2025 07:43:45,24-09-2025 07:43:45,0.187s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:43:46,24-09-2025 07:43:48,2.117s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:43:46,24-09-2025 07:43:46,0.007s,PASSED
Video,,,,24-09-2025 07:43:48,24-09-2025 07:43:48,0.004s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:43:48,24-09-2025 07:43:50,2.026s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:43:48,24-09-2025 07:43:48,0.004s,PASSED
Video,,,,24-09-2025 07:43:50,24-09-2025 07:43:50,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:43:50,24-09-2025 07:43:52,2.019s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:43:50,24-09-2025 07:43:50,0.001s,PASSED
Video,,,,24-09-2025 07:43:52,24-09-2025 07:43:52,0.003s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:43:52,24-09-2025 07:43:54,2.018s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:43:52,24-09-2025 07:43:52,0.001s,PASSED
Video,,,,24-09-2025 07:43:54,24-09-2025 07:43:54,0.000s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:43:54,24-09-2025 07:43:56,2.015s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:43:54,24-09-2025 07:43:54,0.001s,PASSED
Video,,,,24-09-2025 07:43:56,24-09-2025 07:43:56,0.002s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:43:56,24-09-2025 07:43:58,2.015s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:43:56,24-09-2025 07:43:56,0.001s,PASSED
Video,,,,24-09-2025 07:43:58,24-09-2025 07:43:58,0.001s,PASSED
,,,,,,,
Test Cases/2000_tresult/Return Passed,,,,24-09-2025 07:43:58,24-09-2025 07:44:00,2.011s,PASSED
"markPassed(""Passed"")",,,,24-09-2025 07:43:58,24-09-2025 07:43:58,0.000s,PASSED
